xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
5.43,-1.47,8.17,-0.43,-0.18,-1.04,rfall
5.53,-1.44,8.17,-0.85,0.18,-0.61,rfall
5.47,-1.33,8.12,-0.85,-0.18,-0.67,rfall
5.51,-1.53,8.14,-0.06,0.06,-1.4,rfall
5.56,-1.46,8.17,-0.43,0.61,-0.73,rfall
5.54,-1.47,8.13,-0.43,0,-0.85,rfall
5.51,-1.47,8.17,-0.24,0.61,-0.85,rfall
5.48,-1.47,8.16,-0.37,0.24,-1.22,rfall
5.48,-1.47,8.16,-0.37,0.43,-1.16,rfall
5.5,-1.43,8.18,-0.24,0.37,-1.16,rfall
5.51,-1.45,8.16,-0.43,0.55,-1.1,rfall
5.53,-1.48,8.16,-0.37,0.37,-1.28,rfall
5.54,-1.49,8.16,-0.31,0.55,-1.16,rfall
5.45,-1.37,8.13,-0.73,-0.24,-0.92,rfall
5.52,-1.44,8.19,-0.12,0.43,-1.28,rfall
5.37,-1.35,8.12,0.92,1.28,-1.95,rfall
5.3,-1.57,7.97,-1.28,-2.14,-0.43,rfall
5.58,-1.31,8.22,0.61,2.2,-0.98,rfall
5.67,-1.54,8.17,-0.06,0.79,-1.59,rfall
5.49,-1.49,8.14,-0.06,-0.49,-1.34,rfall
5.43,-1.47,8.18,-0.49,-0.49,-0.98,rfall
5.5,-1.44,8.16,-0.92,0.31,-0.73,rfall
5.43,-1.35,8.12,-0.79,-0.24,-0.73,rfall
5.51,-1.5,8.17,0,0.37,-1.4,rfall
5.56,-1.49,8.15,-0.43,0.55,-0.92,rfall
5.53,-1.48,8.16,-0.49,0.06,-0.92,rfall
5.47,-1.46,8.19,-0.43,0.49,-0.85,rfall
5.46,-1.45,8.16,-0.37,0.37,-1.16,rfall
5.48,-1.46,8.17,-0.37,0.49,-0.98,rfall
5.5,-1.44,8.17,-0.49,0.31,-1.16,rfall
5.5,-1.44,8.17,-0.24,0.49,-1.04,rfall
5.5,-1.47,8.16,-0.12,0.49,-1.28,rfall
5.53,-1.48,8.16,-0.37,0.49,-1.04,rfall
5.5,-1.48,8.14,-0.85,0,-0.85,rfall
5.47,-1.37,8.18,-0.24,0.43,-1.1,rfall
5.4,-1.5,8.12,0.24,0.24,-1.53,rfall
5.87,-1.67,8.28,-0.31,-0.06,-1.28,rfall
5.24,-1.19,8.22,-0.92,0.79,0.18,rfall
5.62,-1.63,8.16,0.49,1.1,-2.38,rfall
5.59,-1.47,8.14,0.24,-0.18,-1.4,rfall
5.45,-1.52,8.19,-0.31,-0.24,-1.34,rfall
5.44,-1.5,8.21,-0.49,0.43,-0.85,rfall
5.46,-1.45,8.18,-0.92,0.12,-0.73,rfall
5.5,-1.34,8.18,-0.24,0.24,-1.22,rfall
5.49,-1.55,8.15,-0.49,0.24,-1.16,rfall
5.59,-1.49,8.16,-0.43,0.43,-0.73,rfall
5.43,-1.47,8.18,-0.43,0.18,-1.1,rfall
5.52,-1.47,8.17,-0.37,0.43,-1.04,rfall
5.44,-1.47,8.17,-0.37,0.43,-1.1,rfall
5.46,-1.46,8.17,-0.31,0.43,-1.16,rfall
5.5,-1.43,8.17,-0.18,0.43,-1.04,rfall
5.5,-1.48,8.18,-0.12,0.43,-1.16,rfall
5.52,-1.5,8.15,-0.24,0.55,-1.22,rfall
5.52,-1.49,8.18,-0.49,0.18,-0.98,rfall
5.42,-1.39,8.17,-0.49,-0.06,-0.98,rfall
5.51,-1.48,8.17,0.06,0.43,-1.34,rfall
5.37,-1.34,8.15,0.73,1.22,-2.08,rfall
5.21,-1.59,7.94,-1.22,-1.95,-0.43,rfall
5.62,-1.36,8.22,0.85,2.26,-1.4,rfall
5.65,-1.55,8.18,-0.24,0.61,-1.65,rfall
5.5,-1.52,8.17,-0.12,-0.12,-1.22,rfall
5.4,-1.48,8.2,-0.61,-0.12,-0.92,rfall
5.52,-1.43,8.16,-0.73,0.61,-0.67,rfall
5.45,-1.34,8.14,-0.73,0.06,-0.85,rfall
5.48,-1.53,8.17,-0.12,0.12,-1.59,rfall
5.55,-1.5,8.17,-0.43,0.73,-0.79,rfall
5.52,-1.5,8.15,-0.37,-0.06,-0.92,rfall
5.46,-1.45,8.2,-0.37,0.55,-0.92,rfall
5.47,-1.47,8.17,-0.31,0.43,-1.1,rfall
5.47,-1.46,8.17,-0.43,0.49,-1.1,rfall
5.49,-1.46,8.18,-0.18,0.24,-1.1,rfall
5.49,-1.45,8.17,-0.18,0.24,-1.1,rfall
5.49,-1.48,8.17,-0.31,0.55,-1.16,rfall
5.5,-1.48,8.15,-0.18,0.55,-1.04,rfall
5.55,-1.52,8.19,-0.49,0.43,-1.1,rfall
5.42,-1.38,8.18,-0.55,0,-1.04,rfall
5.55,-1.49,8.18,0.06,0.67,-1.34,rfall
5.54,-1.4,8.26,1.04,1.34,-2.2,rfall
5.03,-1.53,7.92,-1.4,-1.59,-0.18,rfall
5.66,-1.47,8.18,1.16,2.14,-1.71,rfall
5.68,-1.5,8.19,-0.24,0.37,-1.34,rfall
5.47,-1.52,8.18,-0.18,0,-1.46,rfall
5.41,-1.46,8.18,-0.55,-0.12,-0.79,rfall
5.51,-1.43,8.18,-1.04,0.49,-0.79,rfall
5.48,-1.36,8.13,-0.67,0.12,-0.67,rfall
5.47,-1.54,8.16,-0.06,0.37,-1.4,rfall
5.55,-1.49,8.18,-0.37,0.79,-0.85,rfall
5.53,-1.5,8.15,-0.37,0.31,-1.1,rfall
5.45,-1.46,8.18,-0.49,0.67,-0.92,rfall
5.46,-1.46,8.16,-0.37,0.55,-1.16,rfall
5.48,-1.46,8.16,-0.37,0.55,-1.22,rfall
5.48,-1.51,8.16,-0.31,0.18,-1.04,rfall
5.56,-1.49,8.09,-0.18,0.49,-1.16,rfall
5.61,-1.4,8.09,-0.49,0.67,-2.2,rfall
5.56,-1.38,8.18,-0.85,0.67,-2.62,rfall
5.44,-1.42,8.25,-0.49,1.28,-3.17,rfall
5.46,-1.48,8.11,-0.61,0.18,-2.56,rfall
5.45,-1.58,8.24,0.37,-0.55,-2.14,rfall
5.53,-1.61,8.38,1.59,-0.06,-2.38,rfall
4.9,-1.52,7.94,-0.73,-3.23,-0.49,rfall
5.56,-1.7,8.07,0.85,1.4,-1.4,rfall
5.74,-1.59,8.17,-0.43,-1.22,-2.08,rfall
5.44,-1.48,8.19,-0.37,-1.89,-1.71,rfall
5.36,-1.48,8.2,-0.12,-1.53,-1.46,rfall
5.39,-1.38,8.32,0.37,0.31,-1.83,rfall
5.15,-1.4,8.26,1.04,2.69,-1.77,rfall
5.33,-1.8,8.07,1.83,5.49,-0.55,rfall
5.64,-1.81,8.1,0.06,7.32,1.65,rfall
5.65,-1.69,8.05,-0.98,5.74,1.77,rfall
5.62,-1.42,8.12,-0.85,5.19,0.92,rfall
5.7,-1.26,8.12,0.24,4.03,-0.92,rfall
5.68,-1.37,8.05,0.24,2.14,-2.08,rfall
5.44,-1.43,8.08,-0.67,-0.43,-2.26,rfall
5.67,-1.55,8.11,-0.73,0.55,-1.89,rfall
5.63,-1.45,8.04,-0.24,-0.73,-1.16,rfall
5.58,-1.7,8.04,1.16,0.67,-1.22,rfall
5.64,-1.67,8.04,-0.18,1.77,-1.22,rfall
5.72,-1.41,8.06,0.18,1.4,-0.49,rfall
6.35,-1.73,8.27,-0.61,-1.22,-0.55,rfall
4.22,-1.39,7.48,-1.53,-1.22,-1.4,rfall
6.33,-1.63,7.92,0.85,1.83,-1.28,rfall
5.03,-1.2,8.39,-0.61,1.22,-2.62,rfall
5.73,-1.51,8.01,0.18,1.1,-0.79,rfall
5.9,-1.67,8.16,-0.92,-1.46,-0.67,rfall
5.68,-1.8,8.42,-2.38,-4.52,-0.12,rfall
5.2,-1.54,8.04,-3.11,-0.49,1.1,rfall
5.95,-1.26,8.15,-2.14,-1.53,1.34,rfall
5.38,-1.54,8.06,-1.65,-2.69,0.61,rfall
5.58,-1.57,8.07,-5.19,-3.05,2.62,rfall
5.77,-1.23,8.21,-3.36,-0.79,1.83,rfall
5.66,-1.23,8.29,-1.53,-0.85,0,rfall
5.25,-1.25,8.13,-1.59,-1.1,-0.61,rfall
5.46,-1.24,8.14,-0.67,1.95,-1.1,rfall
5.74,-1.37,8.14,-0.55,0.43,-0.12,rfall
5.46,-1.39,8.14,-1.16,0.31,-0.37,rfall
5.5,-1.3,8.19,-1.59,0.73,-0.49,rfall
5.51,-1.14,8.13,-0.92,2.01,-0.73,rfall
5.6,-1.31,8.18,0.12,3.05,-1.53,rfall
5.74,-1.34,7.94,-1.22,-1.1,-0.67,rfall
5.36,-1.16,8.26,-0.43,2.2,-0.31,rfall
5.79,-1.33,8.22,1.71,2.69,-2.75,rfall
6.15,-1.37,8.14,0.92,-2.62,-3.05,rfall
5.51,-1.35,8.12,0.79,-5.25,-3.3,rfall
5.33,-1.3,8.25,-0.37,-2.26,-0.37,rfall
5.34,-1.39,8.31,0.92,0.37,-0.43,rfall
5.59,-1.16,8.14,-0.24,1.83,-1.71,rfall
5.87,-1.48,8.04,0.12,-2.5,-1.89,rfall
5.58,-1.52,8.11,-1.83,-6.23,-0.61,rfall
5.08,-1.12,8.36,-0.73,-3.85,-1.83,rfall
5.21,-1.08,8.38,1.16,-0.92,-3.3,rfall
5.2,-1.26,8.29,2.56,1.65,-3.42,rfall
5.54,-1.51,8.24,2.32,4.33,-2.38,rfall
5.83,-1.65,8.11,1.65,1.89,-1.65,rfall
5.56,-1.57,8.08,0,-1.65,-1.59,rfall
5.09,-1.37,8.21,-0.85,-1.34,-1.59,rfall
5.39,-1.28,8.42,0.92,0.92,-2.81,rfall
5.18,-1.41,8.28,-0.67,3.42,-0.92,rfall
5.62,-1.46,8.22,1.53,4.64,-1.89,rfall
5.92,-1.66,8.03,-0.06,1.22,-0.37,rfall
5.46,-1.33,8.13,-0.73,-1.95,-0.43,rfall
5.25,-1.57,8.22,-0.67,-0.92,-0.85,rfall
5.27,-1.48,8.22,-1.4,-0.06,-0.67,rfall
5.36,-1.31,8.29,-0.85,1.04,-0.61,rfall
5.59,-1.45,8.23,-0.73,2.38,-0.06,rfall
5.61,-1.42,8.13,-0.55,1.77,-0.06,rfall
5.41,-1.46,8.13,0.12,2.26,-0.43,rfall
5.26,-1.38,8.27,0.43,7.45,-1.16,rfall
6.04,-1.48,8.2,0.24,8.12,-1.28,rfall
6.27,-1.58,7.8,-0.49,-5.74,-0.79,rfall
5.34,-1.42,8.12,-1.83,-12.21,-1.22,rfall
4.65,-1.35,8.38,-1.46,-7.14,-2.69,rfall
5.01,-1.18,8.5,0.06,-0.18,-3.97,rfall
5.15,-1.35,8.23,-0.24,5.62,-2.01,rfall
5.65,-1.52,8.2,2.87,11.23,-2.69,rfall
6.46,-1.82,7.99,0.67,10.31,-0.61,rfall
6.12,-1.57,7.9,-0.73,2.2,0.24,rfall
5.3,-1.27,8.13,-1.65,-1.1,0.61,rfall
5.14,-1.23,8.27,-0.85,-0.12,0.06,rfall
5.44,-1.33,8.17,-0.43,-0.12,-0.98,rfall
5.42,-1.42,8.17,-0.37,-1.4,-1.71,rfall
5.63,-1.48,8.08,-0.73,-1.77,-1.77,rfall
5.71,-1.65,8.05,-1.4,-1.77,-1.71,rfall
5.58,-1.52,8.18,-1.34,-1.65,-0.85,rfall
5.45,-1.3,8.27,-0.18,-0.18,-0.92,rfall
5.62,-1.36,8.1,-0.37,0.06,-1.34,rfall
5.46,-1.3,8.19,-0.67,-0.24,-0.85,rfall
5.63,-1.46,8.22,-0.49,-0.12,-0.61,rfall
5.77,-1.48,8.35,-0.55,-2.38,-0.85,rfall
5.46,-1.56,8.1,-4.7,-9.7,1.59,rfall
4.82,-1.2,8.11,-3.97,-6.96,1.16,rfall
5.05,-1.19,8.31,-2.01,-0.55,0.61,rfall
5.39,-1.17,8.33,-0.43,2.2,-0.61,rfall
5.47,-1.36,8.3,0.24,3.72,-1.04,rfall
5.56,-1.35,8.25,1.53,6.35,-2.26,rfall
5.59,-1.41,8.13,1.71,6.47,-2.5,rfall
5.45,-1.26,8.21,1.53,5.68,-2.2,rfall
5.66,-1.37,8.24,1.1,5.43,-1.4,rfall
5.76,-1.51,8.15,-0.06,3.17,0.37,rfall
5.78,-1.31,8.16,-0.31,0.98,0.12,rfall
5.64,-1.41,8.11,0.67,-1.77,-2.38,rfall
5.51,-1.41,8.2,0.24,-1.46,-2.93,rfall
5.44,-1.49,8.17,0.67,0.37,-3.11,rfall
5.65,-1.4,8.17,0.37,1.16,-2.62,rfall
5.58,-1.44,8.15,0.24,0.61,-2.26,rfall
5.62,-1.37,8.13,0.37,0.24,-2.01,rfall
5.49,-1.34,8.15,1.95,0.98,-2.62,rfall
5.33,-1.49,7.97,1.65,-0.61,-1.95,rfall
5.57,-1.36,8.15,1.46,2.5,-0.92,rfall
5.72,-1.63,8.12,1.53,0.92,-1.4,rfall
5.5,-1.56,8.11,0.98,0.73,-1.71,rfall
5.45,-1.57,8.16,0.06,1.4,-2.01,rfall
5.55,-1.57,8.12,-0.43,1.83,-1.53,rfall
5.74,-1.57,8.1,-0.61,1.46,-1.16,rfall
5.44,-1.32,8.07,-0.55,0.85,-1.04,rfall
5.63,-1.57,8.12,-0.37,1.89,-0.79,rfall
5.71,-1.5,8.08,-0.37,1.83,-0.24,rfall
5.68,-1.49,8.06,-0.73,1.46,-0.49,rfall
5.56,-1.47,8.08,-0.73,1.04,-0.98,rfall
5.59,-1.46,8.1,0.06,1.34,-1.59,rfall
6.99,-2.69,-4.36,-44.56,17.03,28.93,rfall
8.06,-3.3,-3.42,-42.42,10.44,33.45,rfall
8.56,-3.7,-3.89,-42.66,-3.66,36.74,rfall
8.56,-3.44,-4.77,-38.02,-14.71,35.77,rfall
7.26,-4.53,-6.04,-38.82,-9.52,32.53,rfall
10.19,-1.51,-7.73,-37.35,-2.14,30.15,rfall
8.84,-1.79,-6.87,-24.84,12.39,35.03,rfall
7.3,-2.67,-4.59,-12.63,26.06,28.99,rfall
6.91,-1.96,-3.56,-8.36,21.97,14.4,rfall
5.79,-1.68,-3.66,-2.62,15.56,9.4,rfall
5.32,-1.95,-3.83,-1.34,14.95,1.71,rfall
6.73,-1.45,-4.56,-2.87,13.55,-2.38,rfall
7.67,-1.19,-5.9,-4.15,12.63,-2.2,rfall
8.44,-2.7,-6.7,-9.89,19.53,7.2,rfall
8.62,-3.79,-6.94,-24.66,23.56,18.37,rfall
7.88,-3.29,-6.6,-40.53,29.42,21.97,rfall
6.81,-2.05,-5.92,-53.04,33.69,28.5,rfall
4.53,-2.08,-4.92,-65.31,40.34,35.22,rfall
3.97,-1.88,-4.41,-79.1,44.86,41.99,rfall
4.79,-4.01,-6.27,-89.54,43.27,49.19,rfall
7.32,-6.58,-9.3,-98.57,55.85,41.75,rfall
6.8,-2.42,-7.82,-92.65,45.23,39.06,rfall
7.42,-1.89,-7.29,-73.36,40.83,42.18,rfall
9.18,-4.17,-7.42,-54.57,26.92,40.59,rfall
9.18,-3.28,-6.85,-40.59,8.48,35.83,rfall
8.25,-4.14,-6.28,-25.15,-5.43,32.04,rfall
7.74,-4.39,-5.6,-14.16,-12.76,22.64,rfall
6.66,-3.47,-4.9,-4.76,-19.9,15.14,rfall
6.08,-2.95,-4.22,4.39,-20.87,9.64,rfall
7.59,-3.87,-4.17,11.9,-23.68,2.44,rfall
6.44,-3.25,-5.5,14.77,-40.41,-6.59,rfall
2.9,-2.45,-6.37,20.26,-19.41,-5.31,rfall
4.11,-1.56,-4.82,28.75,12.15,-4.15,rfall
7.76,-1.59,-3.96,22.4,13.24,1.22,rfall
12.31,-1.71,-6.5,11.78,-1.53,7.87,rfall
9.45,-2.98,-7,9.83,-10.5,30.09,rfall
7.52,-3.42,-6.54,6.59,7.75,25.57,rfall
8.11,-2.72,-4.85,-0.24,21.55,19.9,rfall
8.27,-2.21,-3.87,-6.71,15.87,19.78,rfall
7.44,-1.54,-4.65,-19.9,2.32,21.36,rfall
7.34,-1.25,-5.45,-32.96,1.46,25.63,rfall
8.99,-1.85,-5.88,-43.82,2.2,30.33,rfall
7.5,-2.22,-6.94,-47.55,-2.69,27.04,rfall
5.88,-1.36,-6.56,-40.71,13.49,11.78,rfall
7.33,-0.49,-5.81,-32.23,18.68,2.44,rfall
7.02,-1.89,-6.06,-21.24,12.15,-5.37,rfall
6.27,-3.19,-6,-17.03,14.34,-6.41,rfall
7.14,-3.49,-5.91,-20.39,20.45,-0.67,rfall
9,-3.62,-5.98,-19.96,18.49,0.73,rfall
8.36,-3.28,-5.41,-16.54,0.55,-2.69,rfall
7.95,-2.75,-5.59,-10.99,-15.01,-5.62,rfall
6.36,-2.96,-4.98,-4.39,-21.24,-8.97,rfall
7.31,-3.81,-4.54,-2.5,-26.25,-5.92,rfall
9.04,-4.02,-6.39,-9.83,-29.79,5.62,rfall
5.48,-1.25,-6.75,-5.55,-11.96,18.31,rfall
7.74,-2.22,-4.17,0.92,5.62,24.66,rfall
7.72,-3.23,-3.99,-0.12,-5.86,15.14,rfall
7.8,-2.82,-5.07,-2.93,-11.35,12.76,rfall
7.75,-2.58,-5.41,-6.16,-9.7,17.09,rfall
8.28,-2.66,-5.35,-8.36,-8,10.31,rfall
7.8,-2.33,-4.73,-8.54,-7.63,4.76,rfall
8.35,-2.32,-4.64,-10.07,-8.12,4.46,rfall
8.1,-2.13,-4.89,-10.5,-9.46,4.46,rfall
7.75,-2.4,-4.75,-9.28,-8.85,5.98,rfall
7.88,-2.97,-4.74,-11.78,-6.71,3.6,rfall
7.94,-2.61,-4.56,-16.11,-5.49,3.78,rfall
8.17,-2.08,-4.76,-16.3,-5.55,4.88,rfall
8.27,-2.31,-4.64,-15.69,-7.81,6.16,rfall
7.83,-2.2,-4.76,-15.08,-9.58,5.07,rfall
7.76,-2.24,-4.82,-13.49,-8.42,3.97,rfall
7.59,-2.53,-4.82,-12.7,-7.93,2.81,rfall
7.2,-2.29,-4.8,-12.21,-7.32,1.04,rfall
7.48,-2.27,-4.83,-11.78,-6.1,-2.44,rfall
6.89,-2.11,-4.97,-10.31,-7.02,-3.23,rfall
5.89,-1.78,-4.71,-6.35,-3.97,-5.07,rfall
5.51,-1.47,-4.3,-2.08,0.43,-8.61,rfall
5.45,-1.5,-4.3,1.95,3.85,-10.56,rfall
4.22,-1.56,-3.4,4.46,6.96,-10.19,rfall
1.76,-1.9,-2.88,2.75,12.57,-15.38,rfall
1.04,-1.83,-2.49,5,25.21,-25.15,rfall
2,-1.45,-1.6,2.14,28.69,-24.72,rfall
4.11,-1.09,-3.05,0.73,19.23,-21.79,rfall
0.74,0.07,-4.08,10.93,11.29,-21.55,rfall
5.92,-2.52,-1.6,4.94,-4.21,-16.97,rfall
0.71,-0.61,-5.11,4.94,-36.01,-34.85,rfall
10.19,-2.86,-3.32,-26.12,-59.08,-27.71,rfall
2.25,-5.46,-7.79,-50.29,-137.82,-31.56,rfall
-2.19,-0.56,4.85,-53.71,-113.04,0.18,rfall
39.24,-28.55,-4.44,-104.68,-166.38,79.53,rfall
39.24,-30.5,-35.14,-239.44,-378.42,105.1,rfall
-5.52,-4.99,-9.84,-76.35,-278.14,96.86,rfall
-17.66,20.89,39.24,-78.19,-91.74,-8,rfall
0.63,0.19,21.27,-32.96,-26.06,36.5,rfall
15.86,1.36,2.29,1.4,-20.32,51.27,rfall
2.4,5.03,7.19,-8.12,-54.38,8.24,rfall
-4.54,0.49,11.13,8.85,-23.01,-5.19,rfall
6.88,0.9,4.73,22.95,-0.67,15.69,rfall
6.47,-0.82,6.92,15.44,-1.04,14.53,rfall
5.36,0.09,9.02,14.65,5.49,3.97,rfall
7.64,-1.95,7.98,8.67,5.92,-5.49,rfall
6.81,-0.81,7.46,-1.34,-3.36,-11.23,rfall
5.27,-0.92,9.19,-0.24,-4.39,-8.67,rfall
5.2,-0.74,8.91,-7.93,-0.85,-7.02,rfall
6.53,-0.06,9.45,-6.1,-0.85,-4.94,rfall
8.41,-0.74,7.76,2.81,-16.72,-4.52,rfall
5.42,-2.52,7.26,1.59,-31.92,-3.36,rfall
5.44,-3.53,7.43,-10.68,-28.5,-1.65,rfall
5.73,-1.31,5.59,-14.89,-26.86,4.15,rfall
6.67,1.19,6.1,-3.54,-16.48,2.44,rfall
5.86,0.24,6.69,2.5,-3.17,2.14,rfall
5.67,-1.39,7.58,1.22,8.54,-5.74,rfall
6.45,-1.49,7.7,-1.22,11.78,-7.02,rfall
6.95,-1.29,8.27,0.24,8.73,-5.25,rfall
6.46,-0.64,8.57,-0.49,-0.24,1.71,rfall
5.03,-0.19,8.73,1.28,-6.47,3.3,rfall
4.38,-0.32,8.64,2.75,-4.88,0.49,rfall
4.76,-0.74,8.23,3.66,-0.98,-0.43,rfall
5.66,-1.09,7.95,3.54,-0.24,-3.91,rfall
6.28,-1.42,7.76,2.93,-0.98,-7.08,rfall
6.47,-1.62,7.56,0.18,-0.31,-6.04,rfall
6.87,-1.54,7.59,-0.79,1.53,-3.85,rfall
6.59,-1.27,7.52,-0.73,1.16,-2.99,rfall
6.38,-1.36,7.65,-2.14,-1.22,-1.04,rfall
5.68,-0.83,7.82,-1.34,2.2,0.61,rfall
6.09,-0.82,8.07,0.43,2.56,0.18,rfall
5.74,-0.81,8.03,0.43,-0.18,1.28,rfall
5.47,-0.91,8.16,0.37,-0.18,0.85,rfall
5.55,-0.99,8.18,-0.24,0,-0.37,rfall
5.68,-1.05,7.94,-0.06,-0.43,-1.89,rfall
5.93,-1.27,7.83,0.37,-0.06,-3.6,rfall
6.18,-1.28,7.82,-0.49,0.06,-2.56,rfall
6.15,-1.26,7.75,-0.85,-0.31,-1.77,rfall
6.11,-1.04,7.84,-1.16,0.49,-1.1,rfall
5.99,-0.97,7.84,-0.85,0.67,-0.37,rfall
5.91,-0.92,7.92,-0.24,0.73,-0.24,rfall
5.84,-0.99,8.01,0.06,0.12,-0.49,rfall
5.7,-1.03,7.97,0.12,-0.06,-0.49,rfall
5.84,-1.14,7.95,0.37,0.61,-1.53,rfall
6.08,-1.15,8.06,1.46,1.4,-3.42,rfall
5.58,-1.22,7.6,-1.28,-1.71,-0.43,rfall
6.12,-1.04,7.88,0.61,1.59,-1.4,rfall
6.2,-1.14,7.9,-0.24,0.49,-1.77,rfall
5.9,-1.11,7.89,0,-0.31,-0.98,rfall
5.73,-1.07,7.95,-0.49,0.37,-0.67,rfall
5.96,-1.02,7.95,-0.61,1.28,-0.61,rfall
5.9,-0.94,7.91,-0.49,0.18,-0.85,rfall
5.85,-1.13,7.92,0.18,0.55,-1.53,rfall
6.04,-1.13,7.87,-0.31,0.98,-0.85,rfall
6.01,-1.16,7.86,-0.43,0.18,-1.16,rfall
5.99,-1.13,7.92,-0.67,0.12,-1.04,rfall
5.87,-1.07,7.89,-0.67,-0.31,-0.98,rfall
5.87,-1.06,7.91,-0.49,0.24,-1.04,rfall
5.89,-1.03,7.91,-0.43,0.43,-1.16,rfall
5.9,-1.07,7.9,-0.31,0.43,-0.98,rfall
5.9,-1.08,7.88,-0.06,0.55,-1.59,rfall
6,-1.14,7.89,-0.06,0.49,-1.34,rfall
5.87,-1.02,7.86,-0.49,0.06,-1.1,rfall
5.65,-0.94,7.85,0.12,-0.37,-1.59,rfall
6.05,-1.05,7.87,1.46,1.95,-2.08,rfall
5.72,-1.23,7.75,-0.67,-1.04,-0.98,rfall
6,-0.91,8.02,0.12,1.53,-0.43,rfall
6.11,-1.28,7.95,0.31,0.49,-1.77,rfall
5.85,-1.13,7.89,0.12,-0.73,-1.53,rfall
5.89,-1.16,7.89,-0.24,0.79,-0.98,rfall
6.05,-1.1,7.87,-0.55,1.28,-0.85,rfall
5.9,-1.07,7.82,-0.85,-0.18,-1.16,rfall
5.75,-0.99,7.98,0.12,-0.06,-1.4,rfall
5.98,-1.18,7.9,0.12,1.34,-1.34,rfall
5.92,-1.12,7.84,-0.12,0.37,-0.85,rfall
5.95,-1.17,7.9,-0.06,1.04,-1.22,rfall
5.92,-1.13,7.84,0.06,0.55,-1.34,rfall
5.86,-1.17,7.91,-0.37,1.46,-0.79,rfall
6.13,-1.08,7.85,0.06,1.53,-0.61,rfall
5.9,-1.14,7.95,0.12,-0.18,-0.73,rfall
5.87,-1.07,7.89,-0.43,0.61,-1.71,rfall
6.01,-1.15,7.9,-0.18,0.43,-1.22,rfall
5.9,-1.13,7.84,-0.24,0.67,-1.16,rfall
6.11,-1.22,7.9,-0.12,0.12,-1.1,rfall
5.74,-0.98,7.73,0,-0.43,-1.46,rfall
5.76,-1.3,7.81,-0.79,-0.06,-1.16,rfall
6.02,-0.98,7.91,0.37,1.89,-1.34,rfall
6.09,-1.2,7.91,0.06,-0.37,-1.83,rfall
5.87,-1.18,7.86,0.12,-0.31,-1.1,rfall
5.91,-1.2,7.89,-0.31,1.16,-1.22,rfall
5.98,-1.12,7.88,-0.73,0.73,-0.85,rfall
5.83,-1.09,7.77,-0.85,-0.37,-0.73,rfall
5.92,-1.1,7.87,-0.12,0.31,-0.67,rfall
6.05,-1.14,7.82,-0.49,1.46,-1.16,rfall
5.95,-1.16,7.88,-0.37,-0.06,-0.79,rfall
5.84,-1.1,7.94,-0.37,0.55,-1.1,rfall
5.91,-1.13,7.8,-0.55,0.18,-1.1,rfall
5.9,-1.1,7.87,-0.24,0.67,-1.28,rfall
5.98,-1.15,7.82,-0.37,0.18,-1.34,rfall
5.95,-1.21,7.93,-0.06,0.85,-1.1,rfall
6.09,-1.13,7.77,-0.61,0.55,-1.53,rfall
5.71,-1.09,7.85,-0.85,-1.4,-1.16,rfall
5.95,-1.11,7.93,-0.37,0.73,-0.98,rfall
6.02,-1.21,7.88,-0.18,0.61,-1.28,rfall
6.08,-1.12,7.86,0.43,1.65,-1.83,rfall
5.89,-1.18,7.75,-1.46,-0.06,-0.06,rfall
5.98,-1.03,7.97,0.31,0.92,-1.22,rfall
6.09,-1.13,7.81,0,0.37,-1.59,rfall
6.02,-1.22,7.83,0.31,0.43,-1.22,rfall
5.93,-1.22,7.89,-0.73,-0.37,-0.79,rfall
5.86,-1.12,7.95,-1.1,0.18,0,rfall
5.94,-0.97,7.87,-0.67,0.92,-0.98,rfall
6,-1.07,7.77,-0.18,0.18,-1.65,rfall
5.95,-1.17,7.79,-0.06,0.92,-1.22,rfall
6.1,-1.17,7.86,0.12,1.4,-0.85,rfall
5.99,-1.23,7.87,-0.92,0.37,-0.73,rfall
5.94,-1.03,7.83,-0.79,0.67,-0.79,rfall
5.97,-1.07,7.85,0.24,1.1,-1.34,rfall
5.88,-1.13,7.88,0.18,0.43,-1.34,rfall
6.03,-1.14,7.83,-0.24,0.24,-1.4,rfall
5.99,-1.16,7.85,-0.24,0.06,-1.4,rfall
5.98,-1.14,7.85,-0.79,0,-1.34,rfall
6.04,-1.12,7.88,-0.24,0.12,-1.1,rfall
5.86,-0.99,7.75,0.24,1.04,-1.53,rfall
5.82,-1.28,7.76,-0.61,0.43,-0.98,rfall
5.97,-0.93,7.86,-0.49,1.89,-0.49,rfall
6.07,-1.16,7.83,0.18,0.37,-1.65,rfall
6.05,-1.18,7.86,0.18,0.79,-1.1,rfall
6,-1.22,7.85,-0.43,0.73,-1.04,rfall
5.94,-1.1,7.87,-0.73,0.92,-0.55,rfall
6.1,-1.15,7.87,-0.55,1.1,-0.73,rfall
5.94,-1.01,7.78,-0.67,-0.31,-0.67,rfall
5.99,-1.16,7.84,0,0.73,-1.04,rfall
6.07,-1.14,7.8,-0.37,0.92,-0.79,rfall
6.05,-1.15,7.84,-0.73,0.85,-0.67,rfall
6.03,-1.11,7.82,-0.67,0.43,-0.49,rfall
5.93,-1.09,7.86,-0.24,0.73,-1.28,rfall
6.03,-1.14,7.8,-0.37,0.92,-1.16,rfall
